SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
5158,Casa Palacio,3,Villa,India,"Private Pool, Lawn",Airbnb,Casa Palacio by VEO - Part of StayVista,https://www.airbnb.co.in/rooms/1586693232249137505
5158,Casa Palacio,3,Villa,India,"Private Pool, Lawn",Booking.com,StayVista's Casa Palacio - Panaji - 3BHK Villa with Private Pool & Bathtub,https://www.booking.com/hotel/in/stayvista-at-casa-palacio-with-pool-lawn.html
5158,Casa Palacio,3,Villa,India,"Private Pool, Lawn",MakeMyTrip,Casa Palacio by VEO - Part of StayVista,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512291532148711&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5207,Solasta,5,Villa,Lonavala,"Private Pool, BBQ",Agoda,StayVista at Villa Solasta,https://www.agoda.com/search?text=StayVista%20Solasta%20Lonavala
5207,Solasta,5,Villa,Lonavala,"Private Pool, BBQ",Airbnb,StayVista @ Villa Solasta w/ BBQ & Swimming Pool,https://www.airbnb.co.in/rooms/1586856232560835548
5207,Solasta,5,Villa,Lonavala,"Private Pool, BBQ",Booking.com,StayVista's Villa Solasta - 5BHK with Private Pool & Bathtub,https://www.booking.com/hotel/in/stayvista-at-villa-solasta-with-bbq-and-swimming-pool-lonavala.html
5207,Solasta,5,Villa,Lonavala,"Private Pool, BBQ",MakeMyTrip,StayVista at Villa Solasta,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512291824456233&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5212,Olive fields,3,Villa,Rishikesh,"Pool, Lawn, BBQ",Agoda,StayVista at Olive fields,https://www.agoda.com/search?text=StayVista%20Olive%20fields%20Rishikesh
5212,Olive fields,3,Villa,Rishikesh,"Pool, Lawn, BBQ",Airbnb,"Cozy 3BR Olive Fields w/AC, Lawn & Wifi |Rishikesh",https://www.airbnb.co.in/rooms/1589033030170626981
5212,Olive fields,3,Villa,Rishikesh,"Pool, Lawn, BBQ",Booking.com,"Olive fields by VEO, StayVista - 3BHK Villa with BBQ & Shared Pool",https://www.booking.com/hotel/in/stayvista-at-olive-fields-with-shared-pool-bbq.html
5212,Olive fields,3,Villa,Rishikesh,"Pool, Lawn, BBQ",MakeMyTrip,StayVista at Olive fields,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601031433029208&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5177,Mai Ludvina,3,Villa,Goa,Pool,Agoda,StayVista at Mai Ludvina,https://www.agoda.com/stayvista-at-mai-ludvina/hotel/goa-in.html
5177,Mai Ludvina,3,Villa,Goa,Pool,Airbnb,StayVista at Mai Ludvina w/ Pool,https://www.airbnb.co.in/rooms/1585459505278859729
5177,Mai Ludvina,3,Villa,Goa,Pool,Booking.com,"Mai Ludvina - Assagao by VIEDA, StayVista - 3BHK Villa with Bar & Alfresco Dining",https://www.booking.com/hotel/in/stayvista-at-mai-ludivina.html
5177,Mai Ludvina,3,Villa,Goa,Pool,MakeMyTrip,StayVista at Mai Ludvina,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202512271747183105&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
