SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
302,Arcadia,3,Villa,Goa,Pool,Airbnb,3BR|Pvt Pool+Lux|StayVista| Arcadia Villa@Candolim,https://www.airbnb.co.in/rooms/1572932592590491421
302,Arcadia,3,Villa,Goa,Pool,Booking.com,StayVista's Villa Arcadia - Candolim - 3BHK with Pet Friendly & Alfresco Dining,https://www.booking.com/hotel/in/villa-arcadia.html
302,Arcadia,3,Villa,Goa,Pool,MakeMyTrip,StayVista |3 BHK Pool Villa Arcadia,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201909121124584427&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
220,Meer,6,Villa,Nashik,"Pool, Lake View, Lawn",Agoda,StayVista at Villa Meer,https://www.agoda.com/en-in/5bhk-lake-view-pool-villa-near-sula-wine-tour/hotel/nasik-in.html
220,Meer,6,Villa,Nashik,"Pool, Lake View, Lawn",Airbnb,6BHK-Villa Meer-w/pool & Huge Lawn-Nashik,https://www.airbnb.co.in/rooms/36398399
220,Meer,6,Villa,Nashik,"Pool, Lake View, Lawn",Booking.com,StayVista's Villa Meer - 6BHK with Pet Friendly & Lake View,https://www.booking.com/hotel/in/casa-gris-nashik.html
220,Meer,6,Villa,Nashik,"Pool, Lake View, Lawn",MakeMyTrip,StayVista | Villa Meer,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091551135950&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,Agoda,StayVista at La Bougainvillea Heritage Home,https://www.agoda.com/en-in/la-bougainvillea/hotel/south-goa-in.html
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,Airbnb,StayVista at La Bougainvillea | Heritage Home,https://www.airbnb.co.in/rooms/549631663649644951
256,La Bougainvillea Heritage Home,5,Villa,Goa,Private Pool,Booking.com,StayVista's La Bougainvillea - Heritage Home - 5BHK Villa with Private Pool & Bathtub,https://www.booking.com/hotel/in/la-bougainvillea.html
